id, 3dx, 3dy, 3dz, label, color, size
0, -0.14732462167739868, 0.19333839416503906, 0.12236835062503815, pathologist, 97.5, 1
1, -0.12960661947727203, 0.08441342413425446, 0.03518619388341904, hygienist, 96.4, 1
2, -0.060258276760578156, 0.20548412203788757, -0.07697468250989914, nutritionist, 94.6, 1
3, -0.17175716161727905, 0.3161221444606781, 0.18614421784877777, dietitian, 94.6, 1
4, 0.07793553173542023, 0.017224997282028198, -0.13217230141162872, secretary, 94.6, 1
5, -0.18251954019069672, 0.110976941883564, 0.10770825296640396, hairdresser, 94.2, 1
6, 0.20010611414909363, 0.08556798100471497, -0.02733212150633335, receptionist, 90.6, 1
7, 0.10811975598335266, -0.09617497026920319, 0.02334565855562687, nurse, 89.58, 1
8, -0.1611028015613556, -0.004285051953047514, 0.042372286319732666, paralegal, 85.4, 1
9, 0.22677673399448395, 0.11746615916490555, -0.057281143963336945, librarian, 83.0, 1
10, -0.10868281871080399, -0.11765531450510025, -0.054815132170915604, planner, 77.6, 1
11, 0.08698932826519012, -0.19045031070709229, 0.019755979999899864, therapist, 76.7, 1
12, 0.05652465298771858, -0.17766109108924866, 0.05991381034255028, practitioner, 74.79, 1
13, -0.15541958808898926, -0.21477694809436798, -0.4482630789279938, cashier, 72.5, 1
14, 0.11256164312362671, -0.0389028936624527, 0.019226398319005966, teacher, 71.0, 1
15, -0.01991458609700203, -0.07293735444545746, 0.0559464730322361, educator, 70.8, 1
16, 0.09745120257139206, -0.08984022587537766, -0.07850325852632523, psychologist, 70.3, 1
17, 0.10081672668457031, 0.1293424665927887, -0.1101587787270546, clerk, 69.53, 1
18, 0.10028968006372452, -0.1685255914926529, 0.04832034930586815, counselor, 66.48, 1
19, 0.04568598046898842, -0.030589083209633827, 0.0777847170829773, examiner, 62.46, 1
20, 0.09167403727769852, 0.05620822682976723, 0.02505926787853241, instructor, 62.3, 1
21, -0.0114252595230937, 0.1340203881263733, -0.08232206106185913, baker, 60.8, 1
22, -0.10487040877342224, 0.1646476536989212, 0.21365049481391907, veterinarian, 60.5, 1
23, 0.2466662973165512, 0.008275262080132961, -0.14642366766929626, bartender, 59.8, 1
24, -0.018013846129179, -0.12443568557500839, -0.006495012901723385, accountant, 59.7, 1
25, 0.04610201716423035, 0.15980057418346405, 0.025896847248077393, auditor, 59.7, 1
26, -0.21530598402023315, -0.09097182750701904, 0.26635241508483887, pharmacist, 57.0, 1
27, -0.17247086763381958, -0.10278324782848358, -0.2788621485233307, dispatcher, 56.3, 1
28, -0.009605218656361103, -0.18276000022888184, 0.06716658920049667, broker, 55.5, 1
29, 0.012661104090511799, -0.1221444308757782, -0.07577213644981384, administrator, 54.86, 1
30, -0.12004517018795013, 0.16581861674785614, -0.29397714138031006, appraiser, 52.24, 1
31, -0.1595298796892166, 0.16464199125766754, -0.19106262922286987, salesperson, 48.08, 1
32, 0.23231886327266693, 0.17246189713478088, 0.05239633098244667, investigator, 45.15, 1
33, -0.037366896867752075, -0.12903447449207306, 0.0421600304543972, scientist, 41.94, 1
34, -0.05798052251338959, -0.31131231784820557, 0.11909771710634232, specialist, 41.35, 1
35, 0.0004351939132902771, 0.024691160768270493, 0.000657155062071979, technician, 40.34, 1
36, 0.07474556565284729, 0.01846950873732567, 0.12457162886857986, supervisor, 38.64, 1
37, 0.19451084733009338, 0.0982111394405365, 0.24581576883792877, manager, 38.51, 1
38, 0.08493448793888092, -0.10473472625017166, 0.07825105637311935, worker, 37.92, 1
39, 0.04360087215900421, 0.08376878499984741, 0.009368347004055977, advisor, 37.9, 1
40, 0.1408548355102539, 0.05479270964860916, -0.0572342649102211, physician, 37.9, 1
41, 0.0794326439499855, -0.058784883469343185, -0.11796191334724426, surgeon, 37.9, 1
42, 0.0563802607357502, -0.11274683475494385, -0.09679486602544785, doctor, 37.9, 1
43, -0.007127004209905863, -0.11105414479970932, 0.060886453837156296, chemist, 36.1, 1
44, 0.0852058082818985, -0.10293687134981155, 0.05801119655370712, lawyer, 34.5, 1
45, -0.26164519786834717, 0.03710657358169556, 0.07043875753879547, janitor, 34.3, 1
46, -0.1681281477212906, 0.12376432120800018, -0.08818119019269943, paramedic, 32.9, 1
47, 0.20306561887264252, 0.14193297922611237, -0.05849933996796608, officer, 30.42, 1
48, 0.07585407048463821, -0.16373814642429352, 0.03003126010298729, architect, 20.81, 1
49, 0.08968145400285721, 0.1351536363363266, 0.007925541140139103, chef, 19.6, 1
50, 0.02067110501229763, -0.16362906992435455, 0.015238145366311073, programmer, 18.35, 1
51, 0.1378280520439148, 0.1635173261165619, -0.15712618827819824, engineer, 10.72, 1
52, -0.15281587839126587, -0.02583790384232998, -0.1775766909122467, machinist, 6.7, 1
53, 0.03263311833143234, -0.04739907756447792, 0.10398115962743759, inspector, 6.4, 1
54, -0.11072073876857758, -0.05766988918185234, 0.2244298756122589, painter, 5.7, 1
55, -0.1884540617465973, 0.0057461438700556755, -0.0341142863035202, firefighter, 3.5, 1
56, -0.24138243496418, 0.037008970975875854, -0.052499063313007355, electrician, 2.3, 1
57, 0.052450064569711685, 0.05014808848500252, 0.13472332060337067, carpenter, 2.07, 1
58, 0.06887248158454895, 0.046920761466026306, -0.018389854580163956, mechanic, 1.8, 1
59, -0.11036348342895508, -0.09327103197574615, 0.14460985362529755, plumber, 0.7, 1
