id, 2dx, 2dy, label, color
0, -0.14729009568691254, 0.2006836235523224, pathologist, 97.5
1, -0.12955836951732635, 0.08953310549259186, hygienist, 96.4
2, -0.06029164791107178, 0.2007693201303482, nutritionist, 94.6
3, -0.1717720925807953, 0.3219994902610779, dietitian, 94.6
4, 0.07789214700460434, 0.0093450378626585, secretary, 94.6
5, -0.1825060397386551, 0.11577576398849487, hairdresser, 94.2
6, 0.2000609189271927, 0.08131884038448334, receptionist, 90.6
7, 0.10813196748495102, -0.09468165040016174, nurse, 89.58
8, -0.16104239225387573, 0.0017354959854856133, paralegal, 85.4
9, 0.2267700880765915, 0.11534826457500458, librarian, 83.0
10, -0.10874336957931519, -0.12460287660360336, planner, 77.6
11, 0.08701132982969284, -0.18850895762443542, therapist, 76.7
12, 0.056578706949949265, -0.17187030613422394, practitioner, 74.79
13, -0.1555349975824356, -0.23929020762443542, cashier, 72.5
14, 0.1125919371843338, -0.036075133830308914, teacher, 71.0
15, -0.0199325829744339, -0.07265666872262955, educator, 70.8
16, 0.0974302887916565, -0.09427911043167114, psychologist, 70.3
17, 0.10078971087932587, 0.12384427338838577, clerk, 69.53
18, 0.10030241310596466, -0.16638770699501038, counselor, 66.48
19, 0.045707423239946365, -0.026281028985977173, examiner, 62.46
20, 0.09168078005313873, 0.05761180818080902, instructor, 62.3
21, -0.011481042951345444, 0.1273561716079712, baker, 60.8
22, -0.10479872673749924, 0.17782354354858398, veterinarian, 60.5
23, 0.24661028385162354, -0.000938867568038404, bartender, 59.8
24, -0.018023265525698662, -0.12578065693378448, accountant, 59.7
25, 0.04609591141343117, 0.16058054566383362, auditor, 59.7
26, -0.21518804132938385, -0.0729181170463562, pharmacist, 57.0
27, -0.17256146669387817, -0.11944491416215897, dispatcher, 56.3
28, -0.009579076431691647, -0.17874941229820251, broker, 55.5
29, 0.012658911757171154, -0.12526394426822662, administrator, 54.86
30, -0.12013333290815353, 0.14958862960338593, appraiser, 52.24
31, -0.1596323698759079, 0.15063074231147766, salesperson, 48.08
32, 0.23234446346759796, 0.1766386330127716, investigator, 45.15
33, -0.03736899793148041, -0.12814955413341522, scientist, 41.94
34, -0.057911217212677, -0.3027500510215759, specialist, 41.35
35, 0.0004218244575895369, 0.023836670443415642, technician, 40.34
36, 0.07481639087200165, 0.028103375807404518, supervisor, 38.64
37, 0.19460800290107727, 0.11424662917852402, manager, 38.51
38, 0.08500951528549194, -0.09650346636772156, worker, 37.92
39, 0.04357447102665901, 0.08231941610574722, advisor, 37.9
40, 0.14080855250358582, 0.04944544658064842, physician, 37.9
41, 0.07936332374811172, -0.0682864636182785, surgeon, 37.9
42, 0.056347258388996124, -0.11885969340801239, doctor, 37.9
43, -0.007118458393961191, -0.10861057788133621, chemist, 36.1
44, 0.08520794659852982, -0.10111768543720245, lawyer, 34.5
45, -0.261603444814682, 0.04286206141114235, janitor, 34.3
46, -0.16816343367099762, 0.11832721531391144, paramedic, 32.9
47, 0.20304276049137115, 0.1385945826768875, officer, 30.42
48, 0.07586956769227982, -0.16182583570480347, architect, 20.81
49, 0.08969774842262268, 0.13703608512878418, chef, 19.6
50, 0.02066151238977909, -0.16435933113098145, programmer, 18.35
51, 0.1377672404050827, 0.1538940966129303, engineer, 10.72
52, -0.15285329520702362, -0.03497517108917236, machinist, 6.7
53, 0.03266867250204086, -0.04136630520224571, inspector, 6.4
54, -0.11070188879966736, -0.048677172511816025, painter, 5.7
55, -0.18847645819187164, 0.002918977290391922, firefighter, 3.5
56, -0.24136531352996826, 0.0365433394908905, electrician, 2.3
57, 0.052517447620630264, 0.060066256672143936, carpenter, 2.07
58, 0.06888972967863083, 0.0477956086397171, mechanic, 1.8
59, -0.11029860377311707, -0.08336231857538223, plumber, 0.7
